"","directors","score_coef"
"620","Roger Spottiswoode",-0.0746046214883027
"621","Jonathan Demme",-0.074604728026604
"622","Roger Donaldson",-0.0746047508679914
"623","Richard Donner",-0.0746047554246692
"624","Antony Hoffman",-0.0746047690675422
"625","Cody Cameron",-0.07460477360699
"626","Des McAnuff",-0.074604791719217
"627","Stephen Norrington",-0.0746047962376543
"628","David Pastor",-0.074604938466492
"629","Kyle Balda",-0.0746049472116048
"630","Clay Kaytis",-0.0746049515776931
"631","Judd Apatow",-0.0746049689957969
"632","Paul Tibbitt",-0.0746049949990904
"633","John McTiernan",-0.074605101664252
"634","Wych Kaosayananda",-0.0746051058758685
"635","Kerry Conran",-0.0746051268624494
"636","Phil Alden Robinson",-0.0746051310488177
"637","Scott Waugh",-0.0746051768059057
"638","Marco Schnabel",-0.0746053228678168
"639","Demian Lichtenstein",-0.0746053268447801
"640","Peter Billingsley",-0.0746053702875508
"641","Wes Ball",-0.0746053742119226
"642","Ryan Murphy",-0.0746053781319947
"643","David McNally",-0.0746054286919362
"644","Chris Butler",-0.074605440263571
"645","Kevin Donovan",-0.0746054441131638
"646","Graham Annable",-0.0746054632890109
"647","Rob Bowman",-0.0746054747490184
"648","Ruben Fleischer",-0.0746054785613666
"649","Stuart Baird",-0.0746054899728596
"650","Joel Coen",-0.0746054937691867
"651","Robert Lorenz",-0.074605497561559
"652","Lee Tamahori",-0.0746055164623848
"653","Scott Stewart",-0.074605520231532
"654","Akiva Goldsman",-0.0746055315150982
"655","Walter Salles",-0.0746055427651845
"656","Anthony Hemingway",-0.0746055688849662
"657","Wayne Wang",-0.0746056169250946
"658","Jimmy Hayward",-0.0746056315908446
"659","William Friedkin",-0.0746056425550853
"660","Ron Maxwell",-0.0746056534888443
"661","Steve Antin",-0.0746056571270364
"662","Jim Gillespie",-0.0746056607619176
"663","Martin Brest",-0.0746056643935104
"664","Harold Becker",-0.0746056716465857
"665","Phyllida Lloyd",-0.0746057148634613
"666","Hideo Nakata",-0.0746058207968894
"667","Peter Hewitt",-0.0746058242788151
"668","Adrian Lyne",-0.0746058623733007
"669","Stephen Gaghan",-0.074605865818526
"670","Richard Loncraine",-0.074605869260756
"671","Jon Hurwitz",-0.074605879569149
"672","Steven Quale",-0.074605882999647
"673","James Wong",-0.0746059977073916
"674","Chuck Bowman",-0.0746060010226415
"675","Iain Softley",-0.0746060043345608
"676","Penny Marshall",-0.0746060076431722
"677","Paul Bolger",-0.0746060109484978
"678","Thomas Carter",-0.074606033990704
"679","Joel Zwick",-0.0746060372697371
"680","Susan Stroman",-0.0746060698722133
"681","Billy Bob Thornton",-0.0746060731151378
"682","Danny Pang",-0.074606076354777
"683","Oliver Parker",-0.0746060795911537
"684","Lawrence Kasanoff",-0.07460608282429
"685","John Hamburg",-0.0746061210219077
"686","Mark Pellington",-0.0746061242144365
"687","Asger Leth",-0.0746061748200478
"688","Sam Taylor-Johnson",-0.0746061842197453
"689","Etan Cohen",-0.0746062122449406
"690","Pete Travis",-0.0746062184423391
"691","Peter Chelsom",-0.0746062369559762
"692","Cal Brunker",-0.0746062461712529
"693","Alejandro Agresti",-0.0746062614637875
"694","Paul Weiland",-0.0746062705997904
"695","Mathieu Kassovitz",-0.0746062736389335
"696","Joan Chen",-0.07460628273571
"697","Stephen Hopkins",-0.0746063068529088
"698","Michael Caton-Jones",-0.0746063098536244
"699","Sofia Coppola",-0.0746063188354172
"700","Stephen Kay",-0.074606321823396
"701","Danny DeVito",-0.0746063248082425
"702","Pierre Morel",-0.0746063396806641
"703","Jeff Nathanson",-0.0746063485708085
"704","Michael Lehmann",-0.0746063515286227
"705","David Mirkin",-0.0746063544835311
"706","Luis Mandoki",-0.0746063574355564
"707","Steve Miner",-0.0746063633307091
"708","Jennifer Flackett",-0.0746063984112921
"709","Christian Ditter",-0.0746064157689097
"710","John Frankenheimer",-0.0746064301540891
"711","Andrew Bergman",-0.0746064330222722
"712","Seth Gordon",-0.0746064444616337
"713","Kevin Rodney Sullivan",-0.0746064473148038
"714","Michael Tollin",-0.0746064501650266
"715","Patrick Tatopoulos",-0.0746064530123257
"716","Gary David Goldberg",-0.074606455856723
"717","Gil Junger",-0.0746064700312107
"718","Scott Mann",-0.0746064785050259
"719","Chris Carter",-0.0746064813244834
"720","Allen Hughes",-0.07460649538086
"721","Lexi Alexander",-0.0746065093736949
"722","Hugh Hudson",-0.0746065316244708
"723","Joe Charbanic",-0.0746065399245671
"724","Jonathan Hensleigh",-0.0746065426862213
"725","Danny Cannon",-0.0746065454452562
"726","Justin Zackham",-0.0746065674187606
"727","John Gatins",-0.0746065701543495
"728","Miguel Sapochnik",-0.0746065728874361
"729","Don Scardino",-0.0746065756180425
"730","Tom Reeve",-0.0746065783461938
"731","Nanette Burstein",-0.0746065810719115
"732","Scott Hicks",-0.0746065837952184
"733","John Francis Daley",-0.0746065865161388
"734","J.B. Rogers",-0.0746065892346946
"735","Michael Sucsy",-0.0746065919509092
"736","Stephen Hillenburg",-0.0746066000853479
"737","Michael McCullers",-0.0746066270364751
"738","Frederik Du Chau",-0.074606632396146
"739","Drew Goddard",-0.0746066404143148
"740","Kimberly Peirce",-0.0746066537215837
"741","Phil Joanou",-0.0746066563762115
"742","Martha Coolidge",-0.0746066669684248
"743","Troy Miller",-0.0746066722490761
"744","Alister Grierson",-0.0746066880227801
"745","Nick Hurran",-0.0746066906430604
"746","Ellory Elkayem",-0.0746067089071347
"747","Jee-woon Kim",-0.0746067244450381
"748","Nick Hamm",-0.074606727024711
"749","Andy Cadiff",-0.0746067296013229
"750","Mike Disa",-0.0746067321748954
"751","Niels Arden Oplev",-0.0746067347454519
"752","Steve Boyum",-0.0746067424372957
"753","Corey Yuen",-0.0746067449955843
"754","Andrew Dominik",-0.0746067475508586
"755","Elizabeth Banks",-0.0746067526521145
"756","Edward Norton",-0.0746067551981418
"757","Ben Falcone",-0.0746067577411323
"758","Janusz Kaminski",-0.074606775451248
"759","John Carpenter",-0.0746067779709081
"760","Todd Graff",-0.0746067980235362
"761","Christian Alvart",-0.074606800518638
"762","E. Elias Merhige",-0.074606803011114
"763","Scott Frank",-0.0746068104721878
"764","Jonathan Frakes",-0.0746068154337847
"765","Kevin Allen",-0.0746068179106705
"766","Ronny Yu",-0.0746068327080999
"767","Mark Helfrich",-0.0746068813815442
"768","Damien Dante Wayans",-0.0746068861982839
